epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
119,7348.76,0.87426,0.53536,0.89578,0.96501,0.86274,0.91712,0.60345,1.20428,0.63333,0.97243,0.004159,0.004159,0.004159
120,7411.36,0.8737,0.53621,0.89904,0.96469,0.86508,0.91735,0.60332,1.20421,0.63304,0.97242,0.0041095,0.0041095,0.0041095
121,7473.97,0.87472,0.53889,0.89743,0.96469,0.8651,0.9174,0.60356,1.20413,0.63315,0.97221,0.00406,0.00406,0.00406
122,7536.21,0.86118,0.53,0.8898,0.96467,0.86471,0.91738,0.60351,1.2042,0.63343,0.97212,0.0040105,0.0040105,0.0040105
123,7597.76,0.87467,0.53173,0.9003,0.96465,0.86403,0.91724,0.60302,1.2043,0.6338,0.97211,0.003961,0.003961,0.003961
124,7658.61,0.88461,0.53656,0.89922,0.96466,0.86431,0.91727,0.60299,1.20434,0.634,0.97206,0.0039115,0.0039115,0.0039115
125,7719.11,0.87952,0.53741,0.89888,0.96463,0.86362,0.91746,0.60301,1.20456,0.63505,0.97216,0.003862,0.003862,0.003862
126,7780.18,0.88588,0.54303,0.8986,0.96434,0.86379,0.91741,0.6029,1.20452,0.63471,0.97218,0.0038125,0.0038125,0.0038125
127,7841.14,0.88438,0.54188,0.89964,0.96423,0.86397,0.91745,0.60282,1.20452,0.63476,0.97218,0.003763,0.003763,0.003763
128,7902.17,0.87704,0.53665,0.89545,0.96362,0.86379,0.91737,0.60278,1.20457,0.63432,0.97227,0.0037135,0.0037135,0.0037135
129,7962.75,0.87382,0.5351,0.89748,0.9638,0.8635,0.91745,0.60301,1.20461,0.63478,0.9722,0.003664,0.003664,0.003664
130,8024.73,0.88421,0.53214,0.89772,0.9642,0.86324,0.91751,0.60292,1.20464,0.63486,0.97223,0.0036145,0.0036145,0.0036145
131,8085.54,0.87374,0.537,0.89787,0.96422,0.86355,0.91752,0.60295,1.20461,0.63433,0.97213,0.003565,0.003565,0.003565
132,8146.59,0.87825,0.53888,0.89835,0.96422,0.86371,0.91747,0.60302,1.20458,0.63392,0.97208,0.0035155,0.0035155,0.0035155
